brand,model,price,kilometrage,body_type,fuel_type,transmission,puissance_fiscale,registration_year,new,fuel_type_simple,year_extracted
Renault,Clio,48500.0,95000.0,Citadine,Essence,Manuelle,5 cv,3.2022,no,essence,2022.0
Jaguar,XF,93000.0,107000.0,Berline,Essence,Automatique,15 cv,5.2016,no,essence,2016.0
BMW,X5,265000.0,112000.0,SUV,Diesel,Automatique,14 cv,8.2020,no,diesel,2020.0
KIA,Cee'd,52000.0,178000.0,Compacte,Essence,Manuelle,6 cv,1.2019,no,essence,2019.0
BMW,Série 3,57000.0,265000.0,Berline,Essence,Automatique,7 cv,5.2014,no,essence,2014.0
GWM,Haval H6,79000.0,96000.0,SUV,Essence,Automatique,9 cv,4.2021,no,essence,2021.0
Hyundai,Accent,65000.0,68000.0,Berline,Essence,Automatique,6 cv,5.2022,no,essence,2022.0
Mercedes-Benz,Classe A,128000.0,63000.0,Compacte,Essence,Automatique,7 cv,5.2022,no,essence,2022.0
Citroën,Jumpy Combi,79000.0,160000.0,Monospace,Diesel,Manuelle,6 cv,5.2020,no,diesel,2020.0
Chery,Tiggo 2,43800.0,64000.0,SUV,Essence,Manuelle,6 cv,5.2021,no,essence,2021.0
Hyundai,Grand i10,47000.0,79000.0,Citadine,Essence,Automatique,5 cv,5.2022,no,essence,2022.0
Land Rover,Range Rover Sport,320000.0,90000.0,SUV,Essence,Automatique,25 cv,5.2021,no,essence,2021.0
Jeep,Renegade,83000.0,85000.0,SUV,Essence,Manuelle,8 cv,1.2021,no,essence,2021.0
Volkswagen,Polo Sedan,49500.0,76000.0,Berline,Essence,Manuelle,5 cv,6.2022,no,essence,2022.0
KIA,Picanto,23500.0,237000.0,Citadine,Essence,Manuelle,4 cv,7.2010,no,essence,2010.0
Seat,Leon,74000.0,182000.0,Compacte,Essence,Automatique,7 cv,12.2021,no,essence,2021.0
Opel,Corsa,35000.0,171000.0,Citadine,Essence,Manuelle,5 cv,6.2022,no,essence,2022.0
Mercedes-Benz,GLC,119000.0,150000.0,SUV,Essence,Automatique,12 cv,9.2017,no,essence,2017.0
Seat,Ateca,122000.0,41100.0,SUV,Essence,Automatique,8 cv,5.2024,no,essence,2024.0
Mercedes-Benz,Classe E,89000.0,199000.0,Berline,Essence,Automatique,10 cv,8.2013,no,essence,2013.0
Mercedes-Benz,GLA,96000.0,125000.0,SUV,Essence,Automatique,9 cv,5.2016,no,essence,2016.0
MG,ZS,57000.0,124000.0,SUV,Essence,Automatique,7 cv,6.2019,no,essence,2019.0
BMW,X6,109000.0,195000.0,SUV,Diesel,Automatique,15 cv,7.2011,no,diesel,2011.0
Jeep,Grand Cherokee,220000.0,54000.0,SUV,Essence,Automatique,20 cv,6.2021,no,essence,2021.0
Volkswagen,Touareg,145000.0,108000.0,SUV,Diesel,Automatique,16 cv,5.2015,no,diesel,2015.0
Porsche,Cayenne,185000.0,210000.0,SUV,Diesel,Automatique,28 cv,1.2013,no,diesel,2013.0
Volkswagen,Virtus,74000.0,10000.0,Berline,Essence,Automatique,7 cv,9.2023,no,essence,2023.0
Mercedes-Benz,Classe C,195000.0,23000.0,Berline,Hybride léger essence,Automatique,9 cv,5.2022,no,hybride,2022.0
Jaguar,XF,120000.0,42000.0,Berline,Essence,Automatique,16 cv,12.2017,no,essence,2017.0
Mercedes-Benz,Classe E coupé,75000.0,230000.0,Coupé,Essence,Automatique,10 cv,6.2014,no,essence,2014.0
Mercedes-Benz,CLE Coupé,316200.0,15000.0,Coupé,Essence,Automatique,12 cv,8.2024,no,essence,2024.0
Jaguar,F-Type,245000.0,12000.0,Coupé,Essence,Automatique,19 cv,10.2017,no,essence,2017.0
Mercedes-Benz,Classe C,130000.0,105000.0,Berline,Diesel,Automatique,8 cv,3.2021,no,diesel,2021.0
Land Rover,Discovery Sport,99000.0,110000.0,SUV,Diesel,Automatique,8 cv,9.2017,no,diesel,2017.0
Mercedes-Benz,CLS,155000.0,66000.0,Coupé,Diesel,Automatique,11 cv,12.2015,no,diesel,2015.0
Mercedes-Benz,Classe S,69000.0,212000.0,Berline,Essence,Automatique,29 cv,6.2008,no,essence,2008.0
Land Rover,Range Rover Sport,260000.0,101000.0,SUV,Hybride rechargeable essence,Automatique,19 cv,9.2019,no,hybride,2019.0
KIA,Sportage,83000.0,134000.0,SUV,Diesel,Automatique,7 cv,12.2019,no,diesel,2019.0
Land Rover,Range Rover Evoque,77000.0,162000.0,SUV,Diesel,Automatique,9 cv,5.2012,no,diesel,2012.0
Audi,A3 Berline,65000.0,86000.0,Berline,Essence,Manuelle,6 cv,10.2016,no,essence,2016.0
Mercedes-Benz,Classe C,174700.0,30000.0,Berline,Hybride léger essence,Automatique,9 cv,7.2022,no,hybride,2022.0
Volkswagen,Tiguan,134000.0,90000.0,SUV,Essence,Automatique,8 cv,1.2023,no,essence,2023.0
Fiat,Panda,26500.0,158500.0,Citadine,Essence,Manuelle,4 cv,12.2011,no,essence,2011.0
BMW,Série 4 Gran Coupé,127000.0,124000.0,Berline,Essence,Automatique,10 cv,7.2016,no,essence,2016.0
BMW,Série 5,150000.0,67000.0,Berline,Hybride rechargeable essence,Automatique,8 cv,2.2019,no,hybride,2019.0
Peugeot,Boxer,65000.0,129500.0,Utilitaire,Diesel,Manuelle,7 cv,4.2020,no,diesel,2020.0
Volkswagen,Tiguan,120000.0,123000.0,SUV,Diesel,Manuelle,8 cv,9.2018,no,diesel,2018.0
Toyota,C-HR,103000.0,44000.0,SUV,Hybride essence,Automatique,5 cv,5.2020,no,hybride,2020.0
Skoda,Octavia,35000.0,214000.0,Berline,Essence,Automatique,8 cv,8.2017,no,essence,2017.0
BMW,Série 1,48000.0,125000.0,Compacte,Essence,Automatique,7 cv,9.2012,no,essence,2012.0
Citroën,Jumpy Combi,82000.0,124000.0,Monospace,Diesel,Manuelle,6 cv,8.2018,no,diesel,2018.0
Ford,Fiesta,47000.0,140000.0,Citadine,Diesel,Manuelle,4 cv,11.2019,no,diesel,2019.0
Ford,Kuga,75000.0,87000.0,SUV,Essence,Manuelle,8 cv,6.2019,no,essence,2019.0
Peugeot,Expert Combi,74000.0,69000.0,Monospace,Diesel,Automatique,9 cv,5.2020,no,diesel,2020.0
Renault,Kwid Populaire,35500.0,28000.0,SUV,Essence,Manuelle,4 cv,12.2022,no,essence,2022.0
KIA,Rio Berline,47000.0,89000.0,Berline,Essence,Manuelle,6 cv,7.2019,no,essence,2019.0
Audi,Q2,97000.0,59000.0,SUV,Essence,Automatique,8 cv,8.2021,no,essence,2021.0
Renault,Megane,59000.0,86000.0,Compacte,Essence,Automatique,7 cv,8.2020,no,essence,2020.0
Volkswagen,Jetta,38000.0,175000.0,Berline,Essence,Manuelle,9 cv,5.2013,no,essence,2013.0
Audi,Q7,99000.0,180000.0,SUV,Diesel,Automatique,16 cv,11.2012,no,diesel,2012.0
Seat,Ibiza,45000.0,105000.0,Citadine,Essence,Manuelle,4 cv,11.2021,no,essence,2021.0
Jeep,Renegade,71000.0,135000.0,SUV,Essence,Automatique,8 cv,8.2021,no,essence,2021.0
KIA,Rio Berline,47000.0,89000.0,Berline,Essence,Manuelle,6 cv,5.2019,no,essence,2019.0
Hyundai,Tucson,97000.0,104000.0,SUV,Diesel,Automatique,7 cv,9.2020,no,diesel,2020.0
Hyundai,Tucson,89000.0,99000.0,SUV,Diesel,Automatique,7 cv,9.2020,no,diesel,2020.0
